event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Itzerhoer Störlauf;Running;09.05.2026;Itzehoe;Germany;Itzehoe, Germany;53.919448;9.5172441;5 km, 10 km, Half Marathon;Official local running event in Itzehoe. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.stoerlauf.de;Kilometerliebe Discovery;
Jenaer Firmenlauf;Running;19.05.2026;Jena;Germany;Jena, Germany;50.9281717;11.5879359;5 km;Official local running event in Jena. Distances: 5 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.jenaerfirmenlauf.de/;Kilometerliebe Discovery;
Kap-Arkona-Lauf;Running;03.10.2026;Putgarten;Germany;Putgarten, Germany;54.6728579;13.4159183;10 km, Half Marathon;Official local running event in Putgarten. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://kap-arkona-lauf.de;Kilometerliebe Discovery;
Kapellenlauf Vorra;Running;02.08.2026;Frensdorf;Germany;Frensdorf, Germany;49.8171708;10.8642356;10 km, Half Marathon;Official local running event in Frensdorf. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.laufclub-vorra.de;Kilometerliebe Discovery;
Karneval Marathon Köln;Running;11.11.2026;Köln;Germany;Köln, Germany;50.938361;6.959974;Marathon;Official local running event in Köln. Distances: Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.karneval-marathon.de;Kilometerliebe Discovery;
Karneval Marathon Köln;Running;06.11.2027;Köln;Germany;Köln, Germany;50.938361;6.959974;10 km, Half Marathon, Marathon;Official local running event in Köln. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://karneval-marathon.de;Kilometerliebe Discovery;
Kassel Marathon;Running;20.09.2026;Kassel;Germany;Kassel, Germany;51.3157833;9.4978479;10 km, Half Marathon, Marathon;Official local running event in Kassel. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.kassel-marathon.de;Kilometerliebe Discovery;
Kiel Lauf;Running;13.09.2026;Kiel;Germany;Kiel, Germany;54.3227085;10.135555;5 km, 10 km, Half Marathon;Official local running event in Kiel. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.kiellauf.de;Kilometerliebe Discovery;
Kieler Förde Marathon;Running;20.09.2026;Kiel;Germany;Kiel, Germany;54.3227085;10.135555;Marathon;Official local running event in Kiel. Distances: Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.ltvkiel-ost.de/kieler-förde-marathon;Kilometerliebe Discovery;
Kieler Förde Marathon;Running;19.09.2027;Kiel;Germany;Kiel, Germany;54.3227085;10.135555;10 km, Half Marathon, Marathon;Official local running event in Kiel. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.kieler-foerde-marathon.de;Kilometerliebe Discovery;
Koberstädter Waldmarathon;Running;30.08.2026;Egelsbach;Germany;Egelsbach, Germany;49.9668352;8.6659289;10 km, Half Marathon;Official local running event in Egelsbach. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.koberstaedter-marathon.de;Kilometerliebe Discovery;
Kölner Frühlingslauf;Running;22.03.2026;Köln;Germany;Köln, Germany;50.938361;6.959974;5 km, 10 km;Official local running event in Köln. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://koelner-fruehlingslauf.de/;Kilometerliebe Discovery;
Kölner Halbmarathon;Running;30.08.2026;Köln;Germany;Köln, Germany;50.938361;6.959974;Half Marathon;Official local running event in Köln. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://koelner-halbmarathon.de/;Kilometerliebe Discovery;
